keys,zh,en,ja
TXT_NO_DATA,暂无数据，先去玩一局吧！,No data yet. Play a game first!,データがありません。まずプレイしてください！
TXT_PLAYER,玩家,PLAYER,プレイヤー
TXT_TOTAL_LINES,总消行,TOTAL LINES,総消去ライン
TXT_TOTAL_PIECES,总方块数,TOTAL PIECES,総ブロック数
TXT_BEST_LINES,最高消行,BEST LINES,最高ライン
TXT_BEST_PPS,最大PPS(每秒落块数),BEST PPS(Pieces Per Second),最大PPS(秒間ブロック数)
TXT_BEST_APM,最大APM(每分钟攻击数),BEST APM(Attacks Per Minute),最大APM(分間攻撃数)
TXT_AVG_PPS,平均PPS(每秒落块数),AVG PPS(Pieces Per Second),平均PPS(秒間ブロック数)
TXT_AVG_APM,平均APM(每分钟攻击数),AVG APM(Attacks Per Minute),平均APM(分間攻撃数)
TXT_AVG_APP,平均APP(每块攻击数),AVG APP(Attacks Per Piece),平均APP(ブロックあたりの攻撃)
TXT_AVG_KPP,平均KPP(每块按键数),AVG KPP(Keys Per Piece),平均KPP(ブロックあたりのキー入力数)
TXT_AVG_SCORE,平均分,AVG SCORE,平均スコア
TXT_TIME,时间,TIME,時間
TXT_SESSION,对局,SESSION,対局
TXT_NO_DETAIL_SNAPSHOT,未找到详细快照,No detailed snapshot found,詳細スナップショットが見つかりません
TXT_DURATION,时长,DURATION,時間
TXT_PIECES,方块,PIECES,ブロック
TXT_KEYS,按键,KEYS,キー
TXT_DAMAGE,伤害,DAMAGE,ダメージ
TXT_CLEAR_BREAKDOWN,单消双消三消四消,Single/Double/Triple/Tetris,シングル/ダブル/トリプル/テトリス
TXT_TSPIN_CLEARS,T-Spin消行,T-Spin Clears,Tスピン消去
TXT_SPIN_CLEARS,Spin消行,Spin Clears,スピン消去
TXT_MAX_COMBO,最大连击,Max Combo,最大コンボ
TXT_MAX_B2B,最大B2B,Max B2B,最大B2B
TXT_START,开始,START,開始
TXT_END,结束,END,終了
TXT_SNAPSHOTS,快照数,SNAPSHOTS,スナップショット数
TXT_DISCARDED,丢弃数,DISCARDED,破棄数
TXT_NA,暂无,N/A,該当なし
TXT_PPS_SHORT,PPS,PPS,PPS
TXT_APM_SHORT,APM,APM,APM
TXT_APP_SHORT,APP,APP,APP
TXT_KPP_SHORT,KPP,KPP,KPP
TXT_PPS_EXPLAIN,PPS（每秒落块）,PPS (Pieces Per Second),PPS（秒間ブロック数）
TXT_APM_EXPLAIN,APM（每分钟攻击）,APM (Attack Per Minute),APM（分間攻撃数）
TXT_APP_EXPLAIN,APP（每块攻击）,APP (Attack Per Piece),APP（ブロックあたり攻撃）
TXT_KPP_EXPLAIN,KPP（每块按键）,KPP (Keys Per Piece),KPP（ブロックあたりキー）
TXT_REPLAY_PPS_TOOLTIP,PPS：每秒放置的方块数，越高代表下块速度越快。,PPS: Pieces placed per second. Higher means faster piece placement.,PPS：1秒あたりに置いたブロック数。高いほど配置速度が速いです。
TXT_REPLAY_APM_TOOLTIP,APM：每分钟造成的攻击行数，越高代表火力越强。,APM: Attack lines sent per minute. Higher means stronger attack output.,APM：1分あたりに送った攻撃ライン数。高いほど火力が高いです。
TXT_REPLAY_APP_TOOLTIP,APP：平均每个方块造成的攻击，衡量进攻效率。,APP: Attack per piece. It measures how much attack each piece creates on average.,APP：ブロック1個あたりの攻撃量。平均的な攻撃効率を表します。
TXT_REPLAY_KPP_TOOLTIP,KPP：平均每个方块使用的按键数，越低通常代表操作更简洁。,KPP: Key presses per piece. Lower usually means cleaner input efficiency.,KPP：ブロック1個あたりのキー入力数。低いほど入力が効率的です。
TXT_REPLAY_RADAR_SPEED_TOOLTIP,速度：由 PPS 映射为 0-100 分，越高代表整体落块节奏越快。,Speed: PPS mapped to a 0-100 score. Higher means faster overall placement pace.,速度：PPSを0-100点に換算します。高いほど全体の配置ペースが速いです。
TXT_REPLAY_RADAR_ATTACK_TOOLTIP,火力：由 APM 映射为 0-100 分，越高代表每分钟攻击输出越强。,Attack: APM mapped to a 0-100 score. Higher means stronger attack output per minute.,火力：APMを0-100点に換算します。高いほど1分あたりの攻撃出力が高いです。
TXT_REPLAY_RADAR_EFFICIENCY_TOOLTIP,效率：由 APP 和 KPP 加权计算，兼顾每块攻击与按键简洁度。,Efficiency: Weighted from APP and KPP. It balances attack per piece with input economy.,効率：APPとKPPの加重計算です。ブロックごとの攻撃量と入力効率を見ます。
TXT_REPLAY_RADAR_STRUCTURE_TOOLTIP,结构：由地形平整度与空洞质量计算，越高代表堆叠更健康。,Structure: Based on field flatness and hole quality. Higher means a healthier stack.,構造：地形の平らさと穴の質から計算します。高いほど積みが良好です。
TXT_REPLAY_RADAR_STABILITY_TOOLTIP,稳定：由封闭空洞与空区碎片化计算，越高代表地形风险越低。,Stability: Based on trapped holes and empty-region fragmentation. Higher means lower field risk.,安定：埋まった穴と空白領域の分断から計算します。高いほど地形リスクが低いです。
TXT_REPLAY_RADAR_VISION_TOOLTIP,视野：由 Spin、Tetris 与三消等高价值消行比例计算。,Vision: Based on the share of high-value clears such as Spin Tetris and triples.,視野：SpinやTetrisやトリプルなど高価値な消去の割合から計算します。
TXT_KEYBINDINGS,按键设置,KEY BINDINGS,キー設定
TXT_BIND_TIP,点击一个槽位后按下键盘或手柄按键进行绑定（每个操作最多3个输入，按 ESC 取消监听）,Click a slot then press a keyboard or gamepad button to bind (up to 3 per action; press ESC to cancel).,スロットを押してからキーボードまたはゲームパッドのボタンを入力してください（各操作最大3つ、ESCでキャンセル）
TXT_BIND_RESET_DEFAULT,恢复默认按键,RESET TO DEFAULT,デフォルトに戻す
TXT_BIND_RESET_ACTION,重置,RESET,リセット
TXT_BIND_WAITING,按下按键...,Press input...,入力待ち...
TXT_BIND_EMPTY,未设置,Empty,未設定
TXT_BIND_SLOT_TIP,点击后进入监听并覆盖该槽位,Click to listen and replace this slot.,クリックしてこのスロットを上書き
TXT_BIND_PRESS_KEY,监听中：请按下键盘或手柄按钮（ESC 取消）,Listening: press a keyboard or gamepad button (ESC to cancel).,入力待ち：キーボードまたはゲームパッドボタンを押してください（ESCでキャンセル）
TXT_BIND_SAVED,按键已保存,Binding saved.,バインドを保存しました。
TXT_BIND_CANCELLED,已取消监听,Capture cancelled.,入力待ちをキャンセルしました。
TXT_BIND_DUPLICATE,同一操作内不能重复绑定相同输入,Duplicate input in the same action is not allowed.,同じ操作内で同一入力は重複できません。
TXT_BIND_RESTORED,已恢复默认映射,Default bindings restored.,デフォルト割り当てに戻しました。
TXT_BIND_UNKNOWN,未知输入,Unknown input,不明な入力
TXT_ACTION_MOVE_LEFT,左移,Move Left,左移動
TXT_ACTION_MOVE_RIGHT,右移,Move Right,右移動
TXT_ACTION_SOFT_DROP,软降,Soft Drop,ソフトドロップ
TXT_ACTION_HARD_DROP,硬降,Hard Drop,ハードドロップ
TXT_ACTION_ROTATE_CW,顺时针旋转,Rotate CW,右回転
TXT_ACTION_ROTATE_CCW,逆时针旋转,Rotate CCW,左回転
TXT_ACTION_ROTATE_180,180旋转,Rotate 180,180度回転
TXT_ACTION_HOLD,暂存,Hold,ホールド
TXT_ACTION_PAUSE,暂停,Pause,一時停止

TXT_REPLAY,复盘系统,REPLAY,リプレイ
TXT_REPLAY_DESC,通过 AI 辅助复盘，发现问题并提升水平。,"REVIEW WITH AI\nFIND MISTAKES\nIMPROVE PLAY","AI分析つきの\nリプレイで課題を見つけ\n上達につなげる"
TXT_REPLAY_ANALYSIS,复盘分析,REPLAY ANALYSIS,リプレイ分析
TXT_PIECE_INFO,方块信息,PIECE INFO,ブロック情報
TXT_TYPE,种类:,Type:,種類:
TXT_POSITION,位置:,Position:,位置:
TXT_CLEAR,消除:,Clear:,消去:
TXT_NONE,无,None,なし
TXT_LINES_CLEARED,行数: %d (累计: %d),Lines: %d (total: %d),ライン: %d (合計: %d)
TXT_DAMAGE_VAL,伤害: %d,Damage: %d,ダメージ: %d
TXT_COMBO_VAL,连击: %d / B2B: %d,Combo: %d / B2B: %d,コンボ: %d / B2B: %d
TXT_TIME_VAL,用时: %s,Time: %s,時間: %s
TXT_TERRAIN_METRICS,地形数据,TERRAIN METRICS,地形データ
TXT_HOLES,空洞:,Holes:,穴:
TXT_BUMPINESS,凹凸度:,Bumpiness:,凹凸度:
TXT_TOTAL_HEIGHT,总高度:,Total Height:,総高さ:
TXT_AI_EVALUATION,AI 评分,AI EVALUATION,AI評価
TXT_AI_CURRENT_STEP,当前步 AI 评分,CURRENT MOVE AI,現在手 AI 評価
TXT_TIMELINE,时间线,TIMELINE,タイムライン
TXT_NO_SESSIONS_FOUND,未找到对局记录,No sessions found,対局記録が見つかりません
TXT_SELECT_SESSION,选择一个对局进行分析,Select a session to analyze,分析する対局を選択
TXT_REPLAY_SESSION_OVERVIEW,本局总览,SESSION OVERVIEW,この対局の概要
TXT_REPLAY_QUADS,四消,QUADS,テトリス
TXT_REPLAY_TSPINS,T-Spin,T-SPINS,T-Spin
TXT_REPLAY_CLEAR_MIX,1/2/3/Tetris,1/2/3/Tetris,1/2/3/テトリス
TXT_REPLAY_AI_SCORE,AI 评分,AI SCORE,AI評価
TXT_AI_ANALYZING,AI 分析中...,AI ANALYZING...,AI分析中...
TXT_AI_ANALYSIS_WAIT,分析耗时可能较长，请稍候,This can take a while. Please wait.,分析に時間がかかる場合があります。お待ちください
TXT_AI_ANALYSIS_PROGRESS,正在生成分析文件 %d / %d,Generating analysis %d / %d,分析ファイル生成中 %d / %d
TXT_AI_ANALYSIS_FAILED,AI 分析失败,AI analysis failed,AI分析に失敗
TXT_STEP_FORMAT,Step %d / %d,Step %d / %d,Step %d / %d
TXT_LOBBY_GUIDE_TITLE,教程百科,GUIDE BOOK,ガイドブック
TXT_LOBBY_GUIDE_DESC,"学习基础知识\n攻击力计算\n技巧与复盘用法","LEARN BASICS\nDAMAGE MATH\nSKILLS & REPLAY","基礎知識から\n攻撃力計算・技術・\nリプレイ活用まで"
TXT_GUIDE_BACK,返回大厅,Back to Lobby,ロビーへ戻る
TXT_GUIDE_READ,阅读,Read,読む
TXT_GUIDE_DEMO,演示,Demo,デモ
TXT_GUIDE_SIM,模拟,Sim,シミュ
TXT_GUIDE_OVERVIEW_TITLE,教程百科,GUIDE BOOK,ガイドブック
TXT_GUIDE_OVERVIEW_DESC,在这里学习核心机制，通过固定场景演示和实战演练掌握高级技巧。,Learn core mechanics and practice advanced techniques.,固定場面で基本ルールと操作を確認します。
TXT_GUIDE_HERO_TITLE,先看收益，再练操作,Learn value first. Then practice.,まず価値を見て、次に操作する
TXT_GUIDE_HERO_BODY,从基础规则进入固定场景，按真实操作理解每一种技巧。,Start from basic rules, then use fixed scenarios to learn each technique through real inputs.,基礎ルールから固定場面に入り、実際の操作に近い流れで各テクニックを確認します。
TXT_GUIDE_OVERVIEW_NAV,总览,Overview,概要
TXT_GUIDE_PROGRESS,学习进度,PROGRESS,学習進度
TXT_GUIDE_ATTACK_TABLE_TITLE,攻击力换算表,ATTACK POWER TABLE,攻撃力換算表
TXT_GUIDE_ATTACK_HEADER,消除类型 | 基础攻击力 | B2B 加成,Clear Type | Base Attack | B2B Bonus,消去タイプ | 基本攻撃力 | B2Bボーナス
TXT_GUIDE_ATTACK_NOTE,注：表中数据为标准对战模式配置,Note: Values reflect standard battle rules.,注：表のデータは標準対戦ルールのものです。
TXT_GUIDE_START_LEARNING,开始学习,START LEARNING,学習を開始
TXT_GUIDE_CONCEPT,介绍,Intro,紹介
TXT_GUIDE_WHY,适用场景,When to Use,使う場面
TXT_GUIDE_VALUE,收益,Benefit,得られるもの
TXT_GUIDE_STEPS,操作顺序,Steps,操作手順
TXT_GUIDE_MISTAKES,Tips,Tips,Tips
TXT_GUIDE_ENTER_SIM,进入固定场景模拟,ENTER SIMULATION,シミュレーション開始
TXT_GUIDE_NEXT_CH,下一章,NEXT CHAPTER,次へ
TXT_GUIDE_DEMO_TITLE,渐进式示范,DEMONSTRATION,デモンストレーション
TXT_GUIDE_CHAPTERS,学习章节,CHAPTERS,学習チャプター
TXT_GUIDE_EXIT,退出百科,EXIT GUIDE,ガイドを終了
TXT_GUIDE_SIM_HINT,"点击右侧棋盘聚焦，使用游戏按键操作方块。\n方块不会自动下落。","Click the board to focus, then use game controls.\nPieces do not fall automatically.","盤面をクリックしてフォーカスし、ゲームの操作キーを使用します。\nブロックは自動落下しません。"
TXT_GUIDE_RESET,重置,RESET,リセット
TXT_GUIDE_EXIT_SIM,退出模拟,EXIT SIM,シミュレーション終了
TXT_GUIDE_CH1_TITLE,Wall Kick 踢墙,Wall Kick,Wall Kick
TXT_GUIDE_CH1_TAG,机制,Mechanics,メカニクス
TXT_GUIDE_CH1_TIME,3 分钟,3 mins,3分
TXT_GUIDE_CH1_SUMMARY,旋转被墙或堆叠挡住时，系统会尝试把方块挪到附近位置。,When rotation is blocked the system tries nearby offsets to complete it.,回転が壁や地形に当たる時、システムは近くの位置へずらして回転できるか試します。
TXT_GUIDE_CH1_CONCEPT,"Wall Kick 是 SRS 旋转系统的一部分。按下旋转后，如果方块会撞墙或撞到已有方块，系统不会立刻判定失败，而是按固定顺序尝试几个偏移位置。\n\n只要其中一个位置能放下，方块就会一边旋转、一边被“踢”到那个位置。","Wall Kick is part of SRS. When a rotation would collide with a wall or stack, the game checks several offsets in order.\n\nIf one offset is valid, the piece rotates and shifts into that position.","Wall Kick は SRS の一部です。回転後に壁や地形と重なる場合、ゲームは決まった順番でいくつかのずらし位置を試します。\n\n置ける位置があれば、ブロックは回転しながらその位置へ移動します。"
TXT_GUIDE_CH1_WHY_1,贴墙时完成旋转,Rotate while touching a wall,壁に接した状態で回転したい時
TXT_GUIDE_CH1_WHY_2,把方块旋进狭窄入口,Spin into a narrow opening,狭い入口へSpinしたい時
TXT_GUIDE_CH1_WHY_3,理解 T-Spin、L-Spin 这类旋入操作,Understand T-Spin and L-Spin entries,T-Spin や L-Spin の入り方を理解したい時
TXT_GUIDE_CH1_VALUE,踢墙本身没有额外攻击力。它的价值在于让方块进入普通移动到不了的位置，从而完成 Spin 或清线。,Wall Kick does not add damage by itself. It lets pieces reach positions normal movement cannot.,Wall Kick 自体に追加攻撃力はありません。通常移動では届かない位置へブロックを入れるための仕組みです。
TXT_GUIDE_CH1_STEP_1,L 方块先贴到右墙,Move the L piece against the right wall,L ブロックを右壁につける
TXT_GUIDE_CH1_STEP_2,顺时针旋转时，中心点会被向左推开一格,Rotate clockwise; the center is pushed one cell left,時計回りに回転し、中心が左へ 1 マスずれる
TXT_GUIDE_CH1_STEP_3,再次调整入口后下落到底,Adjust the entry and drop to the bottom,入口を調整して下まで落とす
TXT_GUIDE_CH1_STEP_4,最后一次旋转靠踢墙进入槽位并完成 L-Spin,Use the final Wall Kick to enter the slot and complete L-Spin,最後の Wall Kick で穴へ入り、L-Spin を完成させる
TXT_GUIDE_CH1_ERR_1,贴墙前先确认入口方向,Check the entry direction before hugging the wall,壁につける前に入口の向きを確認する
TXT_GUIDE_CH1_ERR_2,看中心点移动，比只看外形更容易理解踢墙,Watch the center point; it explains the kick better than the outline,外形だけでなく中心点の移動を見る
TXT_GUIDE_CH1_ERR_3,I 方块的踢墙规则和其它方块不同,The I piece has its own kick table,I ブロックの Wall Kick ルールは他のブロックと異なる
TXT_GUIDE_CH2_TITLE,Combo 连击,Combo,Combo
TXT_GUIDE_CH2_TAG,进攻,Offense,攻撃
TXT_GUIDE_CH2_TIME,5 分钟,5 mins,5分
TXT_GUIDE_CH2_SUMMARY,每次落块都消行，连续不中断就是 Combo。,Clear with every piece without breaking the chain.,毎回のブロックでラインを消し続けると Combo になります。
TXT_GUIDE_CH2_CONCEPT,"Combo 指连续多次清线。每次方块锁定后只要清掉至少一行，Combo 就继续；如果这一步没有清线，Combo 立刻断掉。\n\n它不要求每次都大消，重点是让每一步都能接着清。","Combo means clearing lines with consecutive pieces. If a placed piece clears at least one line, the Combo continues. If it clears nothing, the Combo ends.\n\nThe goal is not a big clear every time. The goal is to keep the next clear available.","Combo は連続してラインを消すことです。ブロックを固定した時に 1 ライン以上消せば Combo は継続し、何も消せなければ切れます。\n\n毎回大きく消す必要はありません。次も消せる形を残すことが重要です。"
TXT_GUIDE_CH2_WHY_1,地形已经很高，需要边降高度边反击,The stack is high and you need to lower it while attacking,地形が高く、下げながら攻撃したい時
TXT_GUIDE_CH2_WHY_2,手里连续有适合补线的小块,You have pieces that can keep filling the gap,溝を埋め続けられるブロックが続く時
TXT_GUIDE_CH2_WHY_3,想用低风险方式持续给对手压力,You want steady pressure with low risk,低リスクで圧力をかけ続けたい時
TXT_GUIDE_CH2_VALUE,从 Combo 3 开始会有额外攻击力。连击越长，额外行数越高，并且会叠加在本次清线本身的攻击力上。,Bonus damage starts at Combo 3. Longer Combos add more damage on top of the current clear.,Combo 3 から追加攻撃力が入ります。Combo が長いほど、本来の消去攻撃力に追加分が乗ります。
TXT_GUIDE_CH2_STEP_1,先留出能连续补线的竖槽,Leave a vertical gap that can be filled repeatedly,連続して埋められる縦の溝を残す
TXT_GUIDE_CH2_STEP_2,把小块放进槽内，每一步都至少清一行,Place pieces into the gap so every move clears at least one line,毎手 1 ライン以上消えるように溝へ置く
TXT_GUIDE_CH2_STEP_3,不要为了大消破坏下一步的入口,Do not break the next entry just to chase a bigger clear,大きく消すために次の入口を壊さない
TXT_GUIDE_CH2_STEP_4,观察计数，目标是不中断地推到 Combo 3 以上,Watch the counter and push past Combo 3 without breaking,カウントを見ながら Combo 3 以上までつなげる
TXT_GUIDE_CH2_ERR_1,优先保留下一个方块能清线的位置,Keep a place where the next piece can clear,次のブロックで消せる場所を優先して残す
